Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Standard,170601_Smp_Pro9313_B,Heavy Taurine,10.14,16425751,59770,1573595,-7.6,Internal Standard
Internal Standard,170601_Smp_Pro9313_C,Heavy Taurine,10.14,19313978,206901,1801313,-7.6,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_1,Heavy Taurine,10.57,6648554,0,643908,-7.2,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_2,Heavy Taurine,10.61,6587405,13266,687744,-7.8,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_3,Heavy Taurine,10.48,7598514,29409,799820,-7.8,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_1,Heavy Taurine,10.53,6949969,0,687231,-7.4,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_2,Heavy Taurine,10.48,7036273,0,712775,-7.6,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_3,Heavy Taurine,10.51,7297962,0,721203,-7.5,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_1,Heavy Taurine,9.81,6175228,0,508223,-8,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_2,Heavy Taurine,9.18,6996141,0,606998,-8.3,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_3,Heavy Taurine,8.85,7488500,0,572371,-8.2,Internal Standard
Internal Standard,170601_Blk_1a,Heavy Sulfolactic Acid,12.91,79156384,403967,6505844,-4,Internal Standard
Internal Standard,170601_Blk_1b,Heavy Sulfolactic Acid,12.89,73590088,312472,6021583,-4.2,Internal Standard
Internal Standard,170601_Blk_1c,Heavy Sulfolactic Acid,12.86,73153696,554063,5804647,-4.1,Internal Standard
Internal Standard,170601_Blk_2a,Heavy Sulfolactic Acid,12.97,69155240,316280,6024356,-4.4,Internal Standard
Internal Standard,170601_Blk_2b,Heavy Sulfolactic Acid,12.97,70510208,214856,6504283,-4.4,Internal Standard
